 0.800000E+03 0.500000E-01  0.54899E+00  0.24636E-01  0.51723E+00  0.19168E-01  0.52900E+00  0.15097E-01
 0.800000E+03 0.800000E-01  0.45114E+00  0.22123E-01  0.45121E+00  0.17142E-01  0.45118E+00  0.13577E-01
 0.800000E+03 0.130000E+00  0.35840E+00  0.21215E-01  0.36276E+00  0.14813E-01  0.36130E+00  0.12213E-01
 0.800000E+03 0.180000E+00  0.32205E+00  0.21023E-01  0.00000E+00  0.00000E+00  0.32205E+00  0.21042E-01
 0.800000E+03 0.250000E+00  0.26302E+00  0.24365E-01  0.26067E+00  0.13610E-01  0.26119E+00  0.11723E-01
 0.800000E+03 0.400000E+00  0.13165E+00  0.17952E-01  0.00000E+00  0.00000E+00  0.13165E+00  0.17623E-01
 0.800000E+03 0.650000E+00  0.19419E-01  0.39687E-02  0.00000E+00  0.00000E+00  0.19419E-01  0.39180E-02
 0.100000E+04 0.130000E-01  0.88692E+00  0.56458E-01  0.00000E+00  0.00000E+00  0.88692E+00  0.56440E-01
 0.100000E+04 0.200000E-01  0.74163E+00  0.37438E-01  0.00000E+00  0.00000E+00  0.74163E+00  0.37311E-01
 0.100000E+04 0.320000E-01  0.65236E+00  0.35427E-01  0.00000E+00  0.00000E+00  0.65236E+00  0.35275E-01
 0.100000E+04 0.500000E-01  0.55728E+00  0.29357E-01  0.00000E+00  0.00000E+00  0.55728E+00  0.29237E-01
 0.100000E+04 0.800000E-01  0.45887E+00  0.24242E-01  0.00000E+00  0.00000E+00  0.45887E+00  0.24259E-01
 0.100000E+04 0.130000E+00  0.40707E+00  0.25836E-01  0.00000E+00  0.00000E+00  0.40707E+00  0.25879E-01
 0.100000E+04 0.180000E+00  0.31974E+00  0.21705E-01  0.00000E+00  0.00000E+00  0.31974E+00  0.21667E-01
 0.100000E+04 0.250000E+00  0.26316E+00  0.21544E-01  0.00000E+00  0.00000E+00  0.26316E+00  0.21367E-01
 0.100000E+04 0.400000E+00  0.13134E+00  0.16973E-01  0.00000E+00  0.00000E+00  0.13134E+00  0.16786E-01
 0.100000E+04 0.650000E+00  0.23583E-01  0.55111E-02  0.00000E+00  0.00000E+00  0.23583E-01  0.53752E-02
 0.120000E+04 0.200000E-01  0.77425E+00  0.45330E-01  0.79386E+00  0.30282E-01  0.78825E+00  0.25233E-01
 0.120000E+04 0.320000E-01  0.64142E+00  0.34689E-01  0.64684E+00  0.25083E-01  0.64512E+00  0.20237E-01
 0.120000E+04 0.500000E-01  0.48022E+00  0.28774E-01  0.53312E+00  0.17906E-01  0.51853E+00  0.15336E-01
 0.120000E+04 0.800000E-01  0.46919E+00  0.26028E-01  0.45722E+00  0.15132E-01  0.46026E+00  0.13100E-01
 0.120000E+04 0.130000E+00  0.42165E+00  0.25991E-01  0.35803E+00  0.13625E-01  0.37036E+00  0.11979E-01
 0.120000E+04 0.180000E+00  0.32401E+00  0.23485E-01  0.00000E+00  0.00000E+00  0.32401E+00  0.23462E-01
 0.120000E+04 0.250000E+00  0.26961E+00  0.20576E-01  0.24155E+00  0.10102E-01  0.24673E+00  0.90447E-02
 0.120000E+04 0.400000E+00  0.12247E+00  0.18855E-01  0.12960E+00  0.10559E-01  0.12795E+00  0.93644E-02
 0.120000E+04 0.650000E+00  0.25046E-01  0.62770E-02  0.00000E+00  0.00000E+00  0.25046E-01  0.61618E-02
 0.120000E+04 0.130000E-01  0.00000E+00  0.00000E+00  0.87539E+00  0.40860E-01  0.87539E+00  0.41452E-01
 0.150000E+04 0.200000E-01  0.73274E+00  0.52587E-01  0.66605E+00  0.38039E-01  0.68544E+00  0.30571E-01
 0.150000E+04 0.320000E-01  0.59479E+00  0.41775E-01  0.63567E+00  0.28743E-01  0.62261E+00  0.23705E-01
 0.150000E+04 0.500000E-01  0.58012E+00  0.34666E-01  0.58514E+00  0.23877E-01  0.58356E+00  0.19598E-01
 0.150000E+04 0.800000E-01  0.42582E+00  0.26362E-01  0.42919E+00  0.18654E-01  0.42808E+00  0.15255E-01
 0.150000E+04 0.130000E+00  0.34453E+00  0.25659E-01  0.34855E+00  0.17703E-01  0.34729E+00  0.14629E-01
 0.150000E+04 0.180000E+00  0.33041E+00  0.25997E-01  0.30416E+00  0.16043E-01  0.31143E+00  0.13663E-01
 0.150000E+04 0.250000E+00  0.22604E+00  0.21934E-01  0.25720E+00  0.15912E-01  0.24636E+00  0.12932E-01
 0.150000E+04 0.400000E+00  0.10626E+00  0.16700E-01  0.12894E+00  0.11946E-01  0.12083E+00  0.97074E-02
 0.150000E+04 0.650000E+00  0.17326E-01  0.58548E-02  0.00000E+00  0.00000E+00  0.17326E-01  0.58067E-02
 0.200000E+04 0.320000E-01  0.63714E+00  0.48092E-01  0.62690E+00  0.36078E-01  0.63031E+00  0.29019E-01
 0.200000E+04 0.500000E-01  0.46859E+00  0.41143E-01  0.52263E+00  0.26195E-01  0.50695E+00  0.22097E-01
 0.200000E+04 0.800000E-01  0.40559E+00  0.31621E-01  0.44487E+00  0.21518E-01  0.43247E+00  0.17754E-01
 0.200000E+04 0.130000E+00  0.36774E+00  0.31609E-01  0.39936E+00  0.22299E-01  0.38878E+00  0.18239E-01
 0.200000E+04 0.180000E+00  0.34206E+00  0.30411E-01  0.32217E+00  0.19283E-01  0.32787E+00  0.16285E-01
 0.200000E+04 0.250000E+00  0.23269E+00  0.24000E-01  0.24405E+00  0.17705E-01  0.24003E+00  0.14250E-01
 0.200000E+04 0.400000E+00  0.10948E+00  0.17044E-01  0.11983E+00  0.13584E-01  0.11584E+00  0.10613E-01
 0.200000E+04 0.650000E+00  0.30837E-01  0.88014E-02  0.00000E+00  0.00000E+00  0.30837E-01  0.86922E-02
 0.300000E+04 0.500000E-01  0.54881E+00  0.36931E-01  0.54238E+00  0.33962E-01  0.54537E+00  0.24990E-01
 0.300000E+04 0.800000E-01  0.43537E+00  0.30879E-01  0.40580E+00  0.25160E-01  0.41765E+00  0.19534E-01
 0.300000E+04 0.130000E+00  0.34063E+00  0.28360E-01  0.35540E+00  0.25078E-01  0.34902E+00  0.18813E-01
 0.300000E+04 0.180000E+00  0.31097E+00  0.29546E-01  0.31284E+00  0.22485E-01  0.31214E+00  0.17923E-01
 0.300000E+04 0.250000E+00  0.19352E+00  0.21612E-01  0.22341E+00  0.18901E-01  0.21051E+00  0.14235E-01
 0.300000E+04 0.400000E+00  0.10780E+00  0.14827E-01  0.13064E+00  0.14535E-01  0.11949E+00  0.10413E-01
 0.300000E+04 0.650000E+00  0.12137E-01  0.48718E-02  0.20730E-01  0.35029E-02  0.17797E-01  0.28220E-02
 0.500000E+04 0.800000E-01  0.41980E+00  0.34359E-01  0.41743E+00  0.24531E-01  0.41823E+00  0.19950E-01
 0.500000E+04 0.130000E+00  0.33731E+00  0.32517E-01  0.36199E+00  0.25805E-01  0.35247E+00  0.20211E-01
